duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,logged_in,num_compromised,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate
0,tcp,ftp_data,SF,491,0,0,0,0,0,0,0,2,2,0,0,1,0,0,150,25,0.17,0.03
0,udp,other,SF,146,0,0,0,0,0,0,0,13,1,0,0,0.08,0.15,0,255,1,0,0.6
0,tcp,private,S0,0,0,0,0,0,0,0,0,123,6,1,0,0.05,0.07,0,255,26,0.1,0.05
0,tcp,http,SF,232,8153,0,0,0,0,1,0,5,5,0.2,0,1,0,0,30,255,1,0
0,tcp,http,SF,199,420,0,0,0,0,1,0,30,32,0,0,1,0,0.09,255,255,1,0
0,tcp,private,REJ,0,0,0,0,0,0,0,0,121,19,0,1,0.16,0.06,0,255,19,0.07,0.07
0,tcp,private,S0,0,0,0,0,0,0,0,0,166,9,1,0,0.05,0.06,0,255,9,0.04,0.05
0,tcp,http,SF,287,2251,0,0,0,0,1,0,3,7,0,0,1,0,0.43,8,219,1,0
0,tcp,ftp_data,SF,334,0,0,0,0,0,1,0,2,2,0,0,1,0,0,2,20,1,0
0,tcp,name,S0,0,0,0,0,0,0,0,0,233,1,1,0,0,0.06,0,255,1,0,0.07
0,tcp,netbios_ns,S0,0,0,0,0,0,0,0,0,96,16,1,0,0.17,0.05,0,255,2,0.01,0.06
0,tcp,http,SF,300,13788,0,0,0,0,1,0,8,9,0,0,1,0,0.22,91,255,1,0
0,icmp,eco_i,SF,18,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,16,1,0
0,tcp,http,SF,233,616,0,0,0,0,1,0,3,3,0,0,1,0,0,66,255,1,0
0,tcp,http,SF,343,1178,0,0,0,0,1,0,9,10,0,0,1,0,0.2,157,255,1,0
0,tcp,mtp,S0,0,0,0,0,0,0,0,0,223,23,1,0,0.1,0.05,0,255,23,0.09,0.05
0,tcp,private,S0,0,0,0,0,0,0,0,0,280,17,1,0,0.06,0.05,0,238,17,0.07,0.06
0,tcp,http,SF,253,11905,0,0,0,0,1,0,8,10,0,0,1,0,0.2,87,255,1,0
5607,udp,other,SF,147,105,0,0,0,0,0,0,1,1,0,0,1,0,0,255,1,0,0.85
0,tcp,mtp,S0,0,0,0,0,0,0,0,0,248,2,1,0,0.01,0.06,0,255,2,0.01,0.06
